Brand A,Brand B,Brand C,Brand D,Brand E,Brand F,Brand G,Brand H
0,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0
1,0,0,0,0,1,0,0
0,0,0,0,0,13,0,0
1,0,1,1,5,0,7,0
0,0,0,0,4,0,0,0
0,0,0,0,21,0,0,0
0,0,0,0,6,0,1,0
2,0,0,1,0,0,0,1
1,0,0,0,3,0,0,0
0,0,0,0,12,0,1,1
1,1,1,1,0,0,1,0
1,1,0,1,1,0,0,0
0,0,0,0,0,0,2,0
0,0,0,1,4,3,0,0
1,0,0,0,0,0,0,1
1,0,0,0,1,1,0,0
0,0,0,0,4,0,0,0
0,4,0,1,0,3,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,24,0,0
0,0,0,1,0,0,0,0
0,0,0,0,2,0,0,0
9,0,3,0,2,0,0,1
0,0,0,0,0,0,0,15
0,0,0,0,3,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0
0,0,0,0,2,0,0,1
0,0,0,0,5,0,1,2
3,0,0,0,0,0,0,0
1,0,0,1,0,1,2,2
0,2,0,0,1,1,0,0
0,0,0,0,1,0,0,6
0,0,0,0,1,0,4,0
2,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1
0,1,0,0,6,0,1,1
0,0,1,0,0,0,0,0
0,0,0,0,3,4,0,0
0,0,0,0,7,0,0,0
0,0,0,0,3,0,3,2
3,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0
3,0,0,5,0,1,2,0
0,0,0,0,5,0,4,2
1,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0
2,0,0,0,1,0,1,12
0,0,0,0,8,0,0,0
0,0,0,0,1,0,0,0
0,1,0,3,0,0,0,0
0,0,0,0,0,0,0,4
0,0,0,0,6,0,0,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1
0,0,0,0,8,0,0,0
0,0,0,0,1,0,0,1
0,0,0,0,4,0,0,0
0,0,4,2,0,2,0,0
5,0,0,0,1,0,0,1
15,0,0,0,0,0,0,3
0,1,0,0,2,1,0,0
1,0,1,1,0,0,1,0
0,4,0,0,0,0,0,0
3,0,0,1,0,0,1,7
0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1
0,0,0,2,2,0,0,0
0,0,0,0,2,0,0,2
0,0,0,0,8,0,0,0
0,0,0,0,0,1,0,0
3,0,0,1,0,9,1,0
5,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
0,0,0,0,2,0,1,0
0,0,0,0,0,0,0,7
3,0,0,0,0,1,0,0
0,0,0,0,7,0,0,0
0,0,0,0,8,0,6,0
10,0,0,3,0,0,0,0
0,0,5,0,0,0,0,0
1,0,1,1,1,2,0,2
0,0,0,0,18,1,0,0
0,0,0,0,0,4,0,0
0,0,0,0,2,0,0,1
0,0,0,0,3,0,13,3
0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0
0,2,0,0,0,0,0,0
2,0,1,11,0,0,0,0
0,0,3,0,0,1,0,0
0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0
2,0,0,0,0,2,0,0
0,0,0,0,4,0,0,0
0,0,0,0,2,0,0,0
